episode,steps,total_reward,avg_reward,epsilon,avg_loss,r_detection,r_false_positive,r_throughput,r_latency,r_stability,action_0_pct,action_1_pct,action_2_pct,action_3_pct,buffer_size,wall_time_s
149,200,72.511059,0.362555,0.4338,0.305758,0.5749,-0.0101,0.6087,0.622,-0.184,8.0,31.0,29.5,31.5,29800,20.88
150,200,70.625707,0.353129,0.43,0.23007,0.5871,-0.0072,0.5465,0.5541,-0.173,13.5,40.0,25.0,21.5,30000,17.87
151,200,72.317935,0.36159,0.4262,0.193064,0.6309,-0.0068,0.5109,0.514,-0.171,14.5,29.0,20.5,36.0,30200,19.87
152,200,69.366169,0.346831,0.4224,0.258163,0.5825,-0.0096,0.5272,0.5515,-0.18,10.0,33.0,27.0,30.0,30400,18.0
153,200,69.129178,0.345646,0.4186,0.445394,0.6303,-0.01,0.4578,0.4614,-0.188,6.0,33.0,28.0,33.0,30600,20.05
154,200,71.387324,0.356937,0.4148,0.307473,0.6284,-0.0059,0.4933,0.5084,-0.178,11.0,37.5,25.5,26.0,30800,19.69
155,200,62.996326,0.314982,0.411,0.28711,0.48,-0.0171,0.5726,0.5907,-0.177,11.5,38.5,25.5,24.5,31000,19.15
156,200,66.335573,0.331678,0.4072,0.473641,0.6143,-0.0058,0.4094,0.432,-0.172,14.0,38.5,23.0,24.5,31200,19.72
157,200,66.693772,0.333469,0.4034,0.359698,0.6347,-0.0052,0.3764,0.4114,-0.167,16.5,24.0,16.0,43.5,31400,19.71
158,200,64.473304,0.322367,0.3996,0.344149,0.4151,-0.0141,0.6912,0.7117,-0.15,25.0,38.5,15.5,21.0,31600,21.98
159,200,69.160962,0.345805,0.3958,0.410715,0.6195,-0.0049,0.4693,0.4736,-0.185,7.5,23.5,32.5,36.5,31800,19.4
160,200,67.311008,0.336555,0.392,0.30524,0.5618,-0.0075,0.5227,0.5272,-0.174,13.0,24.5,33.5,29.0,32000,20.86
161,200,64.102598,0.320513,0.3882,0.330768,0.5739,-0.008,0.4386,0.4445,-0.173,13.5,32.0,31.5,23.0,32200,18.74
162,200,66.892949,0.334465,0.3844,0.28175,0.5585,-0.0099,0.5229,0.5119,-0.161,19.5,31.5,15.0,34.0,32400,18.52
